valid_miles,transport_type,weight,pickup_date,origin_kma,destination_kma,year,month,day,dayofweek,minute,dayofyear,quarter,week_num,is_holiday,month_sin,month_cos,day_sin,day_cos,dayofweek_sin,dayofweek_cos,minute_sin,minute_cos,dayofyear_sin,dayofyear_cos,quarter_sin,quarter_cos,week_num_sin,week_num_cos,valid_miles_outliers,valid_miles_log,valid_miles_std,weight_outliers,weight_log,weight_std,predicted_rate
744.4786,MKPFX,32616.95,2022-09-22 08:42:00,QWBPO,FKQGG,2022,9,22,3,42,265,3,38,0,-1.0,-1.8369701987210297e-16,-0.9858648396246695,-0.16754258560683782,0.43388373911755823,-0.900968867902419,-0.9510565162951535,-0.30901699437494756,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,-0.9911474084046181,-0.13276601527804174,744.4786,6.612684107587371,0.7570807610916735,32616.95,10.39258737088384,0.7942988271446819,4.860665142701562
748.715,MKPFX,39950.0,2022-09-22 08:42:00,LFUHN,EKGTE,2022,9,22,3,42,265,3,38,0,-1.0,-1.8369701987210297e-16,-0.9858648396246695,-0.16754258560683782,0.43388373911755823,-0.900968867902419,-0.9510565162951535,-0.30901699437494756,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,-0.9911474084046181,-0.13276601527804174,748.715,6.618358403762807,0.7630792503097679,39950.0,10.595383951194421,1.1392283308019864,2.8669512956702476
650.192,MKPFX,39950.0,2022-09-22 08:42:00,QGHCU,EKGTE,2022,9,22,3,42,265,3,38,0,-1.0,-1.8369701987210297e-16,-0.9858648396246695,-0.16754258560683782,0.43388373911755823,-0.900968867902419,-0.9510565162951535,-0.30901699437494756,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,-0.9911474084046181,-0.13276601527804174,650.192,6.477267703887621,0.6139275289670515,39950.0,10.595383951194421,1.1392283308019864,3.3416120990576044
650.192,MKPFX,39950.0,2022-09-22 08:42:00,QGHCU,EKGTE,2022,9,22,3,42,265,3,38,0,-1.0,-1.8369701987210297e-16,-0.9858648396246695,-0.16754258560683782,0.43388373911755823,-0.900968867902419,-0.9510565162951535,-0.30901699437494756,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,-0.9911474084046181,-0.13276601527804174,650.192,6.477267703887621,0.6139275289670515,39950.0,10.595383951194421,1.1392283308019864,3.3416120990576044
650.192,MKPFX,39950.0,2022-09-22 08:42:00,QGHCU,EKGTE,2022,9,22,3,42,265,3,38,0,-1.0,-1.8369701987210297e-16,-0.9858648396246695,-0.16754258560683782,0.43388373911755823,-0.900968867902419,-0.9510565162951535,-0.30901699437494756,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,-0.9911474084046181,-0.13276601527804174,650.192,6.477267703887621,0.6139275289670515,39950.0,10.595383951194421,1.1392283308019864,3.3416120990576044
1793.6996,MKPFX,6157.55,2022-09-22 08:42:00,AWWEE,NTODX,2022,9,22,3,42,265,3,38,0,-1.0,-1.8369701987210297e-16,-0.9858648396246695,-0.16754258560683782,0.43388373911755823,-0.900968867902419,-0.9510565162951535,-0.30901699437494756,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,-0.9911474084046181,-0.13276601527804174,1793.6996,7.492035581552212,1.6866727620041189,6157.55,8.725434250140369,-2.0413027277636275,4.323013149963715
885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,2022,9,22,3,42,265,3,38,0,-1.0,-1.8369701987210297e-16,-0.9858648396246695,-0.16754258560683782,0.43388373911755823,-0.900968867902419,-0.9510565162951535,-0.30901699437494756,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,-0.9911474084046181,-0.13276601527804174,885.33,6.785960456860886,0.9402570142748361,41047.25,10.622479121162733,1.1853135434538324,5.6029137240959335
885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,2022,9,22,3,42,265,3,38,0,-1.0,-1.8369701987210297e-16,-0.9858648396246695,-0.16754258560683782,0.43388373911755823,-0.900968867902419,-0.9510565162951535,-0.30901699437494756,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,-0.9911474084046181,-0.13276601527804174,885.33,6.785960456860886,0.9402570142748361,41047.25,10.622479121162733,1.1853135434538324,5.6029137240959335
885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,2022,9,22,3,42,265,3,38,0,-1.0,-1.8369701987210297e-16,-0.9858648396246695,-0.16754258560683782,0.43388373911755823,-0.900968867902419,-0.9510565162951535,-0.30901699437494756,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,-0.9911474084046181,-0.13276601527804174,885.33,6.785960456860886,0.9402570142748361,41047.25,10.622479121162733,1.1853135434538324,5.6029137240959335
885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,2022,9,22,3,42,265,3,38,0,-1.0,-1.8369701987210297e-16,-0.9858648396246695,-0.16754258560683782,0.43388373911755823,-0.900968867902419,-0.9510565162951535,-0.30901699437494756,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,-0.9911474084046181,-0.13276601527804174,885.33,6.785960456860886,0.9402570142748361,41047.25,10.622479121162733,1.1853135434538324,5.6029137240959335
885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,2022,9,22,3,42,265,3,38,0,-1.0,-1.8369701987210297e-16,-0.9858648396246695,-0.16754258560683782,0.43388373911755823,-0.900968867902419,-0.9510565162951535,-0.30901699437494756,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,-0.9911474084046181,-0.13276601527804174,885.33,6.785960456860886,0.9402570142748361,41047.25,10.622479121162733,1.1853135434538324,5.6029137240959335
2310.9231,GJROY,39950.0,2022-09-22 08:42:00,RONUZ,OQOLJ,2022,9,22,3,42,265,3,38,0,-1.0,-1.8369701987210297e-16,-0.9858648396246695,-0.16754258560683782,0.43388373911755823,-0.900968867902419,-0.9510565162951535,-0.30901699437494756,-0.9886775902323404,-0.15005539834465262,-1.0,-1.8369701987210297e-16,-0.9911474084046181,-0.13276601527804174,2000.0,7.600902459542082,1.8017595980872987,39950.0,10.595383951194421,1.1392283308019864,5.972942505905596
